"Specific conductance, water, unfiltered, microsiemens per centimeter at 25&#176;C(uS/cm @25C)","Streamflow, ft&#179;/s(ft3/s)","Temperature, water, &#176;C(deg C)","Wind direction, degrees clockwise from north(Deg)","Wind speed, mph(mph)"
26400.0,,14.1,,
32800.0,,14.0,,
20000.0,,12.8,,
,,11.6,,
,,11.6,,
,,11.5,,
,,11.5,,
26300.0,,14.0,,
32800.0,,13.7,,
20100.0,,13.1,,
,,11.5,,
,,11.5,,
,,11.5,,
,,11.5,,
25300.0,,13.7,,
32800.0,,13.8,,
20000.0,,12.9,,
,,11.4,,
,,11.4,,
,,11.4,,
,,11.4,,
24000.0,,13.6,,
32700.0,,13.5,,
20100.0,,13.0,,
,,11.4,,
,,11.4,,
,,11.4,,
,,11.3,,
23500.0,,13.5,,
32600.0,,13.3,,
20100.0,,12.8,,
,,11.3,,
,,11.3,,
,,11.3,,
,,11.3,,
22400.0,,13.4,,
32500.0,,13.0,,
20100.0,,12.5,,
,,11.3,,
,,11.3,,
,,11.3,,
,,11.3,,
21800.0,,13.3,,
32500.0,,12.9,,
20200.0,,12.5,,
,,11.3,,
,,19.3,,
,,11.2,,
,,11.2,,
,,11.2,,
20900.0,,13.4,,
32500.0,,12.7,,
20100.0,,12.5,,
,,11.2,,
,,19.3,,
,,11.2,,
,,11.2,,
,,11.2,,
21200.0,,13.5,,
32500.0,,12.6,,
20100.0,,12.3,,
,,11.2,,
,,19.3,,
,,11.2,,
,,11.2,,
,,11.1,,
21300.0,,13.6,,
32400.0,,12.7,,
20200.0,,12.5,,
,,11.2,,
,,11.1,,
,,11.1,,
,,11.2,,
21400.0,,13.5,,
32300.0,,13.1,,
20100.0,,12.8,,
,,11.2,,
,,11.2,,
,,11.2,,
,,11.2,,
20900.0,,13.7,,
32300.0,,13.6,,
20200.0,,13.1,,
,,11.2,,
,,11.2,,
,,11.2,,
,,11.2,,
22000.0,,13.8,,
32300.0,,14.3,,
20100.0,,13.9,,
,,11.2,,
,,11.2,,
,,11.2,,
,,11.2,,
22800.0,,14.0,,
32400.0,,14.7,,
20300.0,,14.7,,
,,11.2,,
,,11.2,,
,,11.2,,
,,11.1,,
23900.0,,14.2,,
32400.0,,14.6,,
20300.0,,14.3,,
,,11.1,,
,,11.1,,
,,11.1,,
,,11.1,,
25700.0,,14.2,,
32500.0,,14.7,,
20100.0,,14.4,,
,,11.1,,
,,11.1,,
,,11.1,,
,,11.1,,
27200.0,,14.3,,
32700.0,,15.1,,
20200.0,,15.0,,
,,11.1,,
,,11.1,,
,,11.1,,
,,11.0,,
27600.0,,14.4,,
32700.0,,15.2,,
20300.0,,15.2,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
28400.0,,14.4,,
32800.0,,15.2,,
20300.0,,15.1,,
,,11.0,,
,,11.0,,
,,11.0,,
,,10.9,,
29700.0,,14.4,,
32700.0,,15.1,,
20300.0,,15.1,,
,,10.9,,
,,10.9,,
,,10.9,,
,,10.9,,
31400.0,,14.5,,
32700.0,,15.1,,
20400.0,,14.8,,
,,10.9,,
,,10.9,,
,,10.9,,
,,10.8,,
34200.0,,14.4,,
32800.0,,15.1,,
20400.0,,14.6,,
,,10.8,,
,,10.8,,
,,10.8,,
,,10.8,,
34200.0,,14.4,,
32800.0,,15.1,,
20400.0,,14.5,,
,,10.8,,
,,10.8,,
,,10.8,,
,,10.7,,
34500.0,,14.5,,
32800.0,,15.1,,
20400.0,,14.5,,
,,10.7,,
,,10.7,,
,,10.7,,
,,10.7,,
34500.0,,14.6,,
32800.0,,15.1,,
20500.0,,14.4,,
,,10.7,,
,,10.7,,
,,10.6,,
,,10.6,,
34700.0,,14.6,,
32800.0,,15.1,,
20600.0,,14.4,,
,,10.6,,
,,10.6,,
,,10.6,,
,,10.6,,
34500.0,,14.5,,
32800.0,,15.2,,
20700.0,,14.4,,
,,10.6,,
,,10.6,,
,,10.6,,
,,10.6,,
34300.0,,14.5,,
33100.0,,15.0,,
20700.0,,14.4,,
,,10.6,,
,,10.6,,
,,10.6,,
,,10.6,,
34100.0,,14.5,,
33200.0,,14.9,,
20700.0,,14.4,,
,,10.6,,
,,10.6,,
,,10.6,,
,,10.6,,
33600.0,,14.6,,
33200.0,,15.0,,
20900.0,,14.4,,
,,10.6,,
,,10.6,,
,,10.6,,
,,10.6,,
30300.0,,14.7,,
33100.0,,15.2,,
21100.0,,14.4,,
,,10.6,,
,,10.6,,
,,10.6,,
,,10.6,,
27500.0,,14.7,,
33000.0,,15.3,,
21700.0,,14.4,,
,,10.6,,
,,10.6,,
,,10.6,,
,,10.6,,
26700.0,,14.7,,
32900.0,,15.4,,
22000.0,,14.4,,
,,10.6,,
,,10.6,,
,,10.6,,
,,10.6,,
26900.0,,14.7,,
32800.0,,15.6,,
22000.0,,14.4,,
,,10.6,,
,,10.6,,
,,10.6,,
,,10.6,,
26900.0,,14.8,,
32800.0,,15.9,,
21800.0,,14.6,,
,,10.7,,
,,10.7,,
,,10.7,,
,,10.7,,
25700.0,,15.2,,
32800.0,,16.4,,
21700.0,,14.8,,
,,10.7,,
,,10.7,,
,,10.7,,
,,10.8,,
26400.0,,15.4,,
32800.0,,16.8,,
21400.0,,15.1,,
,,10.8,,
,,10.8,,
,,10.8,,
,,10.8,,
26000.0,,15.8,,
32900.0,,17.0,,
21400.0,,15.3,,
,,10.8,,
,,10.9,,
,,10.9,,
,,10.9,,
26900.0,,15.8,,
33000.0,,16.6,,
21500.0,,15.3,,
,,10.9,,
,,10.9,,
,,11.0,,
,,10.9,,
28000.0,,15.4,,
33100.0,,16.7,,
21300.0,,16.0,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
29700.0,,15.5,,
33000.0,,16.8,,
21300.0,,16.0,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
31400.0,,15.3,,
32800.0,,16.8,,
21200.0,,16.3,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
34000.0,,15.2,,
32900.0,,16.8,,
21200.0,,16.4,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
34500.0,,15.6,,
32900.0,,16.7,,
21100.0,,16.5,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
35400.0,,15.7,,
32900.0,,16.7,,
21100.0,,16.4,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
35500.0,,15.7,,
32800.0,,16.7,,
21100.0,,16.3,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
35800.0,,15.9,,
32500.0,,16.8,,
21200.0,,16.2,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
35600.0,,15.8,,
32500.0,,16.8,,
21200.0,,16.2,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
35400.0,,15.8,,
32400.0,,16.8,,
21200.0,,16.2,,
,,11.0,,
,,11.0,,
,,11.0,,
,,11.0,,
35400.0,,15.6,,
32300.0,,16.9,,
21100.0,,16.3,,
,,11.1,,
,,11.1,,
,,11.1,,
,,11.1,,
34900.0,,15.3,,
31600.0,,17.2,,
21000.0,,16.4,,
,,11.1,,
,,11.1,,
,,11.1,,
,,11.1,,
34300.0,,15.4,,
31500.0,,17.2,,
20900.0,,16.4,,
,,11.1,,
,,11.2,,
,,11.2,,
,,11.1,,
33500.0,,15.4,,
31500.0,,17.2,,
20900.0,,16.4,,
,,11.2,,
,,11.2,,
,,11.2,,
,,11.2,,
29700.0,,15.8,,
31400.0,,17.2,,
20900.0,,16.4,,
,,11.2,,
,,11.2,,
,,11.2,,
,,11.3,,
27200.0,,15.7,,
31100.0,,17.3,,
21000.0,,16.4,,
,,11.3,,
,,11.3,,
,,11.2,,
,,11.3,,
28300.0,,15.6,,
31000.0,,17.3,,
21000.0,,16.5,,
,,11.2,,
,,11.3,,
,,11.2,,
,,11.3,,
27200.0,,15.8,,
31000.0,,17.4,,
20900.0,,16.5,,
,,11.3,,
,,11.3,,
,,11.3,,
,,11.3,,
26800.0,,15.9,,
31000.0,,17.6,,
20900.0,,16.6,,
,,11.4,,
,,11.4,,
,,11.4,,
,,11.5,,
26600.0,,15.8,,
31000.0,,17.9,,
20900.0,,16.7,,
,,11.6,,
,,11.6,,
,,11.6,,
,,11.7,,
26600.0,,15.9,,
31000.0,,18.2,,
20800.0,,17.0,,
,,11.8,,
,,11.8,,
,,11.9,,
,,11.9,,
26000.0,,16.4,,
30900.0,,18.7,,
20700.0,,17.7,,
,,11.9,,
,,12.0,,
,,12.0,,
,,12.0,,
26400.0,,16.7,,
30800.0,,19.1,,
20700.0,,18.3,,
,,12.1,,
,,12.0,,
,,12.1,,
,,12.0,,
28000.0,,16.5,,
30900.0,,19.0,,
20100.0,,18.2,,
,,12.1,,
,,12.1,,
,,12.1,,
,,12.2,,
28900.0,,16.7,,
30800.0,,19.0,,
20200.0,,18.6,,
,,12.2,,
,,12.2,,
,,12.2,,
,,12.2,,
30900.0,,16.6,,
30900.0,,18.9,,
20100.0,,18.6,,
,,12.3,,
,,12.3,,
,,12.3,,
,,12.3,,
33000.0,,16.5,,
30900.0,,19.0,,
20200.0,,18.7,,
,,12.4,,
,,12.4,,
,,12.4,,
,,12.4,,
34400.0,,16.6,,
30700.0,,19.0,,
20100.0,,18.8,,
,,12.4,,
,,12.4,,
,,12.4,,
,,12.4,,
35600.0,,16.8,,
30800.0,,19.0,,
19800.0,,18.5,,
,,12.4,,
,,12.3,,
,,12.4,,
,,12.4,,
36100.0,,16.9,,
30900.0,,19.0,,
19700.0,,18.6,,
,,12.5,,
,,12.5,,
,,12.5,,
,,12.5,,
36500.0,,17.1,,
31000.0,,19.0,,
19700.0,,18.8,,
,,12.5,,
,,12.6,,
,,12.5,,
,,12.5,,
37200.0,,17.2,,
31100.0,,19.0,,
19900.0,,19.2,,
,,12.5,,
,,12.5,,
,,12.5,,
,,12.5,,
37200.0,,17.3,,
31100.0,,19.0,,
19900.0,,19.1,,
,,12.4,,
,,12.4,,
,,12.6,,
,,12.8,,
37100.0,,17.3,,
31100.0,,19.0,,
19900.0,,19.1,,
,,12.9,,
,,13.0,,
,,13.1,,
,,13.1,,
36800.0,,17.3,,
31100.0,,19.0,,
19900.0,,19.1,,
,,13.1,,
,,13.1,,
,,13.1,,
,,13.0,,
36700.0,,17.3,,
31000.0,,19.0,,
19900.0,,19.1,,
,,12.9,,
,,13.0,,
,,13.1,,
,,13.3,,
36100.0,,17.2,,
30400.0,,18.9,,
19900.0,,19.0,,
,,13.5,,
,,13.6,,
,,13.6,,
,,13.6,,
35900.0,,17.2,,
28700.0,,18.9,,
19800.0,,18.9,,
,,13.5,,
,,13.4,,
,,13.3,,
,,13.2,,
32800.0,,16.8,,
28900.0,,18.8,,
19800.0,,18.7,,
,,13.1,,
,,12.9,,
,,12.8,,
,,12.8,,
33100.0,,16.9,,
28900.0,,18.7,,
19900.0,,18.5,,
,,12.8,,
,,12.6,,
,,12.6,,
,,12.6,,
31800.0,,16.8,,
28700.0,,18.5,,
20000.0,,18.4,,
,,12.5,,
,,12.4,,
,,12.4,,
,,12.4,,
28800.0,,16.8,,
28800.0,,18.3,,
19900.0,,18.1,,
,,12.3,,
,,12.3,,
,,12.4,,
,,12.4,,
27500.0,,16.8,,
28800.0,,18.2,,
19700.0,,17.6,,
,,12.4,,
,,12.5,,
,,12.5,,
,,12.6,,
26800.0,,16.9,,
29100.0,,18.2,,
19800.0,,17.7,,
,,12.6,,
,,12.7,,
,,12.8,,
,,12.8,,
24800.0,,17.0,,
29200.0,,18.3,,
19800.0,,17.8,,
,,12.9,,
,,13.0,,
,,13.1,,
,,13.1,,
23600.0,,17.1,,
29300.0,,18.4,,
19700.0,,17.6,,
,,13.2,,
,,13.3,,
,,13.4,,
,,13.4,,
23000.0,,17.2,,
29300.0,,18.6,,
19600.0,,17.8,,
,,13.5,,
,,13.5,,
,,13.6,,
,,13.7,,
22500.0,,17.2,,
29100.0,,18.6,,
19500.0,,17.9,,
,,13.7,,
,,13.8,,
,,13.8,,
,,13.8,,
22000.0,,17.2,,
29100.0,,18.4,,
19700.0,,17.7,,
,,13.9,,
,,13.9,,
,,13.9,,
,,13.9,,
21800.0,,17.2,,
29200.0,,18.4,,
19300.0,,17.8,,
,,13.9,,
,,13.9,,
,,13.9,,
,,14.0,,
21700.0,,17.1,,
29300.0,,18.3,,
19400.0,,17.3,,
,,14.0,,
,,14.1,,
,,14.1,,
,,14.2,,
21500.0,,17.0,,
29400.0,,18.1,,
19200.0,,17.1,,
,,14.3,,
,,14.4,,
,,14.4,,
,,14.5,,
21600.0,,16.9,,
29400.0,,17.9,,
18800.0,,17.0,,
,,14.6,,
,,14.6,,
,,14.7,,
,,14.7,,
21700.0,,16.8,,
29500.0,,17.7,,
18600.0,,16.5,,
,,14.8,,
,,14.8,,
,,14.9,,
,,14.9,,
21200.0,,16.6,,
29500.0,,17.1,,
18500.0,,16.4,,
,,14.9,,
,,15.0,,
,,15.0,,
,,15.0,,
21100.0,,16.4,,
29500.0,,16.9,,
18800.0,,16.0,,
,,15.0,,
,,15.1,,
,,15.1,,
,,15.1,,
20300.0,,16.3,,
29500.0,,16.9,,
19100.0,,15.7,,
,,15.2,,
,,15.2,,
